BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA,Class
-0.234936534,-1.662438921,0.221093744,2.086911537,-1.365200392,-0.216829694,1.383394691,0.948399679,0.983296889,-0.228223642,-0.155192396,-0.051353602,0.583090543,0.042515614,0.376735958,-0.077140273,-0.008656231,0.647098015,0.051360595,0.475662487,0.6257412,4
-0.268755393,0.031761322,0.272901898,0.82336651,-1.409089914,-0.253047214,1.334463568,0.42742609,1.224534288,-0.212355157,-0.133435668,-0.013194555,0.433381333,0.030686774,0.431500424,-0.150417942,-0.08299496,0.396537531,0.038001535,0.454201502,0.769681505,4
-0.242143977,-1.685566395,0.230932681,2.149323062,-1.380362227,-0.215396857,1.338547428,0.929133193,1.020161859,-0.228461419,-0.138480631,-0.032582855,0.610205335,0.033803638,0.396828116,-0.058818488,0.007343327,0.674659273,0.035696551,0.494919372,0.659126928,4
-0.284534967,0.073574461,0.29473204,0.880191787,-1.440886799,-0.252112327,1.244559613,0.363164549,1.308744866,-0.212004749,-0.099753422,0.025341211,0.478543019,0.013102982,0.473462807,-0.11847178,-0.055628576,0.437397392,0.006791651,0.490627174,0.842122425,4
-0.256558863,-1.731821345,0.250610556,2.27414611,-1.410685897,-0.212531183,1.248852902,0.890600222,1.0938918,-0.228936973,-0.105057102,0.004958639,0.664434918,0.016379686,0.437012432,-0.022174918,0.039342443,0.729781787,0.004368462,0.53343314,0.725898383,4
-0.300314541,0.115387599,0.316562182,0.937017063,-1.472683683,-0.251177441,1.154655659,0.298903008,1.392955443,-0.21165434,-0.066071176,0.063876976,0.523704704,-0.004480809,0.515425189,-0.086525618,-0.028262193,0.478257253,-0.024418234,0.527052847,0.914563346,4
-0.270973749,-1.778076295,0.27028843,2.398969159,-1.441009567,-0.209665509,1.159158376,0.85206725,1.16762174,-0.229412527,-0.071633572,0.042500132,0.718664501,-0.001044266,0.477196747,0.014468652,0.071341559,0.784904301,-0.026959627,0.571946909,0.792669838,4
0.389309866,-0.422366828,-0.231015142,-0.356044071,-0.42500415,-0.201026685,-0.125438189,-0.107659711,-0.567047451,-0.389984671,-0.734087259,-0.713203031,0.041478703,0.053124765,0.448341125,-0.820399381,-0.646714782,0.009798719,0.451866613,0.290933746,-0.255937578,1
0.380813059,-0.470836838,-0.222974885,-0.360764802,-0.455502764,-0.201399325,-0.088498969,-0.064767046,-0.579485952,-0.391653677,-0.658991038,-0.651669206,-0.000366977,0.036637797,0.355348218,-0.740654252,-0.592199101,-0.025426074,0.293141537,0.309134982,-0.181809317,1
0.395746841,-0.338526809,-0.198854116,-0.35683086,-0.402531487,-0.201283859,-0.117168215,-0.219997644,-0.592346097,-0.398624235,-0.578482476,-0.592735402,-0.000366977,0.02897484,0.239107083,-0.623265461,-0.514852066,0.058491813,0.243530292,0.272732511,-0.396251787,1
0.392657093,-0.312326803,-0.312221733,-0.301755673,-0.394505536,-0.201840195,-0.077656113,0.129271201,-0.580540062,-0.36995659,-0.885937231,-0.855545501,-0.118929737,0.79643162,0.336749636,-0.809502531,-0.641030241,0.002546555,0.419410658,0.222679112,-0.165924689,1
0.392399614,-0.497036844,-0.174733346,-0.275004868,-0.375243254,-0.196754446,-0.180938909,-0.03208692,-0.52277482,-0.367338541,-0.722924307,-0.682869455,0.180964303,0.050047972,0.699421975,-0.838725901,-0.65510181,0.079212279,0.538415826,0.518449195,-0.4809698,1
0.390082303,-0.497036844,-0.178753474,-0.299395308,-0.431424911,-0.202186592,-0.095114949,-0.144424853,-0.526358795,-0.38730117,-0.846731591,-0.818330537,-0.042212657,0.160173956,0.462290061,-0.785232274,-0.623324293,0.016014858,0.357589791,0.281833128,-0.488912114,1
0.384675244,-0.142026766,-0.174733346,-0.27893881,-0.394505536,-0.200018982,-0.167523172,-0.105617203,-0.476815613,-0.37519269,-0.482751707,-0.452334281,0.236758543,0.023517885,0.597129777,-0.768391688,-0.608879968,0.010834742,0.325133836,0.359188381,-0.465085173,1
0.37257373,-0.52454685,-0.146592448,-0.237239026,-0.463528715,-0.195389849,-0.185533339,0.008763237,-0.459949849,-0.31726834,-0.75032428,-0.727069808,-0.007341257,0.055969348,0.462290061,-0.621779527,-0.513920174,0.079212279,0.244612157,0.27728282,-0.465085173,1
0.385962639,-0.634586874,-0.146592448,-0.266350196,-0.394505536,-0.198171528,-0.167155618,-0.025959397,-0.52488304,-0.368320309,-0.859924171,-0.827517277,0.062401543,0.219968244,0.648275876,-0.809502531,-0.633854673,0.110292978,0.413228571,0.49569765,-0.667084685,1
0.381842975,-0.439396831,-0.182773602,-0.334013997,-0.42018858,-0.201273362,-0.099525602,0.002635713,-0.560090323,-0.378792508,-0.847069862,-0.818590539,-0.042212657,0.160173956,0.462290061,-0.848334941,-0.666098136,-0.011957771,0.637329213,0.263631893,-0.633726968,1
-0.045600813,-0.426576135,-0.264554151,-0.442061193,-0.255362265,-0.270471901,0.084763647,0.459893242,-0.528166562,-0.353917327,-0.508233247,-0.487388275,0.031751705,-0.169590047,0.295637134,-0.6958937,-0.552778806,-0.113828279,0.092602718,0.141917481,0.127285511,1
-0.062574932,-0.523404944,-0.248492086,-0.451491822,-0.316289515,-0.271216326,0.158557333,0.545580157,-0.553015025,-0.357251511,-0.358213109,-0.364461812,-0.051843642,-0.202526155,0.109864687,-0.536586415,-0.443872527,-0.184197041,-0.224483246,0.178278191,0.27537195,1
-0.032741632,-0.259088465,-0.200305891,-0.443632964,-0.210468501,-0.270985659,0.101284622,0.235475132,-0.578705808,-0.371176632,-0.197380709,-0.246729425,-0.051843642,-0.217834488,-0.122350871,-0.302078175,-0.289355926,-0.016553813,-0.323591907,0.105556771,-0.153020963,1
-0.038914039,-0.206748569,-0.426781009,-0.333608959,-0.194435015,-0.272097054,0.180218166,0.933211439,-0.555120827,-0.31390712,-0.811584779,-0.771746616,-0.288697125,1.315318177,0.072710198,-0.674125003,-0.541422767,-0.128315965,0.027765276,0.005564819,0.307104758,1
-0.039428406,-0.57574484,-0.152119696,-0.280168728,-0.155954646,-0.261937226,-0.026110447,0.610865426,-0.439722882,-0.308677027,-0.485932957,-0.426790723,0.310402862,-0.175736574,0.797222741,-0.732504691,-0.569533618,0.024839577,0.265502562,0.596426353,-0.322262607,1
-0.044057711,-0.57574484,-0.160150728,-0.328893644,-0.268189054,-0.272789055,0.145340553,0.386447315,-0.446882609,-0.348556482,-0.733263454,-0.697402076,-0.135438989,0.044262715,0.323503001,-0.625640177,-0.506051496,-0.101410262,-0.095734612,0.123737126,-0.338129011,1
